#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
5399,55956,245,'v5_7_0',Decimal('6078801042056343552'),185.72056,9.97951,0.276471,1.4e-05,0,'GALAXY','STARFORMING'
5428,56029,869,'v5_7_0',Decimal('6111623664393449472'),201.16468,17.313455,0.149941,2.6e-05,0,'GALAXY','STARFORMING'
5430,56000,211,'v5_7_0',Decimal('6113694594057826304'),201.89214,9.359552,0.399033,1.9e-05,0,'GALAXY','AGN'
5867,56034,304,'v5_7_0',Decimal('6605738417563824128'),199.17877,17.892399,0.150408,1.9e-05,0,'QSO','AGN BROADLINE'
5994,56101,342,'v5_7_0',Decimal('6748738152217374720'),196.93311,26.26912,0.352385,4.2e-05,0,'GALAXY','BROADLINE'
6000,56102,85,'v5_7_0',Decimal('6755422908053123072'),203.19969,26.504311,0.107282,1.5e-05,0,'GALAXY','STARBURST'
6031,56091,7,'v5_7_0',Decimal('6790304364503953408'),253.02247,43.150662,0.245568,3.4e-05,0,'QSO','BROADLINE'
6138,56598,213,'v5_7_0',Decimal('6910832287890993152'),356.23231,15.384347,0.24839,1.9e-05,0,'GALAXY','STARFORMING BROADLINE'
6138,56598,270,'v5_7_0',Decimal('6910847955931688960'),356.08644,15.76997,0.197572,9e-06,0,'GALAXY','BROADLINE'
6138,56598,559,'v5_7_0',Decimal('6910927395646795776'),355.21611,16.69765,0.18932,1.5e-05,0,'GALAXY','STARFORMING'
6140,56189,595,'v5_7_0',Decimal('6913189084203249664'),344.70825,15.820187,0.072786,6e-06,0,'GALAXY','STARBURST'
6258,56238,282,'v5_7_0',Decimal('7045959237247889408'),18.645783,25.551667,0.183191,2.5e-05,0,'GALAXY','BROADLINE'
6261,56219,680,'v5_7_0',Decimal('7049446338056613888'),20.400731,27.8941,0.19108,2.3e-05,0,'GALAXY','BROADLINE'
6293,56561,573,'v5_7_0',Decimal('7085445728877342720'),343.37346,28.597888,0.105871,1.2e-05,0,'GALAXY','STARBURST'
6402,56334,33,'v5_7_0',Decimal('7208020380845010944'),180.45792,28.102971,0.055916,6e-06,0,'GALAXY','STARBURST'
6415,56310,569,'v5_7_0',Decimal('7222804413789433856'),172.72301,24.980554,0.409172,1.5e-05,0,'GALAXY','AGN BROADLINE'
6431,56311,161,'v5_7_0',Decimal('7240706662129659904'),174.51871,20.007263,0.063776,6e-06,0,'GALAXY','STARBURST'
6473,56363,672,'v5_7_0',Decimal('7288134921699913728'),180.17247,31.796189,0.116134,1.4e-05,0,'QSO','AGN BROADLINE'
6474,56362,767,'v5_7_0',Decimal('7289286934991138816'),187.15227,29.94149,0.20765,1.2e-05,0,'GALAXY',''
